#OTU ID,ANNDRY,ANNH2O,ANNMUK,BOGDRY,BOGH2O,BOGMUK,TUNDRY,TUNH2O,TUNMUK,VPDRY,VPGF10,VPGF11,VPGF12,VPGF15,VPGF16,VPGF18,VPGF2,VPGF3,VPGF5,VPGF7,VPGF7B,VPGF9,VPH2O,VPMUK,VPPF1,VPPF10,VPPF11,VPPF12,VPPF13,VPPF15,VPPF16,VPPF16B,VPPF17,VPPF18,VPPF19,VPPF2,VPPF20,VPPF21,VPPF22,VPPF23,VPPF24,VPPF25,VPPF3,VPPF4,VPPF5,VPPF6,VPPF7,VPPF9,VPTAD1,VPTAD12,VPTAD18,VPTAD20,VPTAD21,VPTAD22,VPTAD25,VPTAD34,VPTAD35,VPTAD38,VPTAD4,VPTAD40,VPUPDRY,VPUPH2O,VPUPMUK,VPWF1,VPWF10,VPWF11,VPWF12,VPWF18,VPWF19,VPWF20,VPWF21,VPWF4,VPWF5,VPWF6,VPWF7,VPWF8,VPWF9,taxonomy
8810486a8c3ea48dc68e08b37e2bd6ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,D_0__Bacteria; D_1__Spirochaetes; D_2__Spirochaetia; D_3__Spirochaetales; D_4__Spirochaetaceae; D_5__Treponema 2; D_6__uncultured bacterium
955a4264e03a15f1b33f8e7b010deb3d,0,0,17,0,0,0,0,0,11,0,0,4,0,0,70,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,3,0,0,0,38,0,98,0,0,47,0,0,0,0,0,D_0__Bacteria; D_1__Acidobacteria; D_2__Blastocatellia (Subgroup 4); D_3__Blastocatellales; D_4__Blastocatellaceae; D_5__uncultured
8ce5d403015616c859b6c39e84bc84ff,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,37,29,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,11,0,11,10,6,0,17,5,0,10,107,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__WD260; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
20ce8f70db4d18b6e24c804fd2c2f21d,11,0,68,0,0,44,29,0,0,228,612,7,0,0,0,144,0,192,4,0,214,1019,1582,777,0,29,0,13,0,63,19,298,117,0,0,70,4,50,11,17,148,0,33,0,19,0,0,212,667,204,273,159,324,95,82,0,320,532,138,650,0,31,68,0,69,56,8,36,0,28,7,0,0,0,19,9,0,D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Beijerinckiaceae; D_5__Roseiarcus; D_6__uncultured bacterium
5d151ce0b5a604899d938943546003dd,0,12,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,21,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,3,0,0,0,0,0,39,0,326,0,0,200,0,0,3,0,0,D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Rhizobiales Incertae Sedis; D_5__uncultured
ec8244e64ac1a06bee0586e8b15c2c38,18,2,42,0,0,45,7,0,43,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,21,0,0,0,5,0,0,0,26,16,0,0,12,9,0,35,0,0,0,0,0,0,0,11,0,0,0,0,0,0,33,0,16,0,18,0,0,1,0,8,0,4,0,6,0,D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Chitinophagaceae; D_5__Ferruginibacter
c0852a6c4eb0e0f0268c8f7207cdcb4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,21,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,27,2,19,7,45,7,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Acetobacterales; D_4__Acetobacteraceae
4a4854a96c9e151350de2b5e6c5e785c,0,0,11,0,0,61,0,0,21,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,44,0,0,0,0,0,0,0,0,0,0,1,0,D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__SBR1031; D_4__A4b; D_5__wastewater metagenome; D_6__wastewater metagenome
b192bcf4602268b74f2f47ee1201f7ec,19,0,0,20,375,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,68,0,241,0,0,0,0,0,0,1,0,10,0,0,21,0,0,0,2,0,0,0,0,17,0,121,0,0,0,0,15,0,0,0,2,0,D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Beijerinckiaceae; D_5__Methylobacterium
3b44d1945a2407d9ab7532d922449c28,11,27,0,18,0,0,30,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,224,0,0,0,0,0,37,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,430,0,0,9,7,0,0,0,0,0,0,D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Polaromonas
